SAMPLE_ID SAMPLE_LOC RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z
160 P9 25.098039 62.745098 75.294118 24.200882 30.035014 54.406363
161 Q9 25.098039 62.745098 87.843137 28.141175 31.610887 75.160042
162 R9 25.098039 62.745098 100.000000 32.736913 33.448899 99.365979
163 A10 0.000000 75.294118 0.000000 18.850692 37.696317 6.283653
164 B10 0.000000 75.294118 12.549020 19.111404 37.800585 7.656835
165 C10 0.000000 75.294118 25.098039 19.776134 38.066436 11.157993
166 D10 0.000000 75.294118 37.647059 20.962087 38.540744 17.404457
167 E10 0.000000 75.294118 50.196078 22.747215 39.254685 26.806796
168 F10 0.000000 75.294118 62.745098 25.196282 40.234160 39.706128
169 G10 0.000000 75.294118 75.294118 28.365860 41.501796 56.400425
170 H10 0.000000 75.294118 87.843137 32.306153 43.077670 77.154104
171 I10 0.000000 75.294118 100.000000 36.901891 44.915681 101.360042
172 J10 12.549020 75.294118 0.000000 19.446336 38.003433 6.311563
173 K10 12.549020 75.294118 12.549020 19.707048 38.107702 7.684745
174 L10 12.549020 75.294118 25.098039 20.371778 38.373553 11.185904
175 M10 12.549020 75.294118 37.647059 21.557731 38.847861 17.432368
176 N10 12.549020 75.294118 50.196078 23.342859 39.561802 26.834706
177 O10 12.549020 75.294118 62.745098 25.791925 40.541277 39.734038
178 P10 12.549020 75.294118 75.294118 28.961504 41.808913 56.428335
179 Q10 12.549020 75.294118 87.843137 32.901797 43.384786 77.182014
180 R10 12.549020 75.294118 100.000000 37.497535 45.222798 101.387952
181 A11 25.098039 75.294118 0.000000 20.965030 38.786479 6.382726
182 B11 25.098039 75.294118 12.549020 21.225742 38.890748 7.755908
183 C11 25.098039 75.294118 25.098039 21.890472 39.156598 11.257066
184 D11 25.098039 75.294118 37.647059 23.076425 39.630906 17.503530
185 E11 25.098039 75.294118 50.196078 24.861553 40.344847 26.905868
186 F11 25.098039 75.294118 62.745098 27.310620 41.324323 39.805200
187 G11 25.098039 75.294118 75.294118 30.480198 42.591958 56.499498
188 H11 25.098039 75.294118 87.843137 34.420491 44.167832 77.253177
189 I11 25.098039 75.294118 100.000000 39.016229 46.005843 101.459114
190 J11 0.000000 87.843137 0.000000 26.656885 53.306605 8.885754
191 K11 0.000000 87.843137 12.549020 26.917597 53.410873 10.258936
192 L11 0.000000 87.843137 25.098039 27.582327 53.676724 13.760094
193 M11 0.000000 87.843137 37.647059 28.768281 54.151032 20.006558
194 N11 0.000000 87.843137 50.196078 30.553408 54.864973 29.408897
195 O11 0.000000 87.843137 62.745098 33.002475 55.844448 42.308229
196 P11 0.000000 87.843137 75.294118 36.172053 57.112084 59.002526
197 Q11 0.000000 87.843137 87.843137 40.112346 58.687958 79.756205
198 R11 0.000000 87.843137 100.000000 44.708084 60.525969 103.962143
199 A12 12.549020 87.843137 0.000000 27.252529 53.613721 8.913665
200 B12 12.549020 87.843137 12.549020 27.513241 53.717990 10.286847
201 C12 12.549020 87.843137 25.098039 28.177971 53.983841 13.788005
202 D12 12.549020 87.843137 37.647059 29.363924 54.458149 20.034469
203 E12 12.549020 87.843137 50.196078 31.149052 55.172090 29.436807
204 F12 12.549020 87.843137 62.745098 33.598119 56.151565 42.336139
205 G12 12.549020 87.843137 75.294118 36.767697 57.419201 59.030437
206 H12 12.549020 87.843137 87.843137 40.707990 58.995074 79.784116
207 I12 12.549020 87.843137 100.000000 45.303728 60.833086 103.990053
208 J12 25.098039 87.843137 0.000000 28.771223 54.396767 8.984827
209 K12 25.098039 87.843137 12.549020 29.031935 54.501036 10.358009
210 L12 25.098039 87.843137 25.098039 29.696665 54.766886 13.859167
211 M12 25.098039 87.843137 37.647059 30.882619 55.241195 20.105631
212 N12 25.098039 87.843137 50.196078 32.667746 55.955135 29.507970
213 O12 25.098039 87.843137 62.745098 35.116813 56.934611 42.407302
214 P12 25.098039 87.843137 75.294118 38.286391 58.202246 59.101599
215 Q12 25.098039 87.843137 87.843137 42.226684 59.778120 79.855278
216 R12 25.098039 87.843137 100.000000 46.822422 61.616131 104.061216
217 A13 0.000000 100.000000 0.000000 35.761595 71.513577 11.920700
218 B13 0.000000 100.000000 12.549020 36.022307 71.617846 13.293882
219 C13 0.000000 100.000000 25.098039 36.687037 71.883697 16.795041
220 D13 0.000000 100.000000 37.647059 37.872990 72.358005 23.041505
221 E13 0.000000 100.000000 50.196078 39.658118 73.071946 32.443843
222 F13 0.000000 100.000000 62.745098 42.107185 74.051421 45.343175
223 G13 0.000000 100.000000 75.294118 45.276763 75.319057 62.037473
224 H13 0.000000 100.000000 87.843137 49.217056 76.894930 82.791151
225 I13 0.000000 100.000000 100.000000 53.812794 78.732942 106.997089
226 J13 12.549020 100.000000 0.000000 36.357239 71.820694 11.948611
227 K13 12.549020 100.000000 12.549020 36.617951 71.924962 13.321793
228 L13 12.549020 100.000000 25.098039 37.282681 72.190813 16.822951
229 M13 12.549020 100.000000 37.647059 38.468634 72.665121 23.069415
230 N13 12.549020 100.000000 50.196078 40.253762 73.379062 32.471753
231 O13 12.549020 100.000000 62.745098 42.702829 74.358538 45.371086
232 P13 12.549020 100.000000 75.294118 45.872407 75.626173 62.065383
233 Q13 12.549020 100.000000 87.843137 49.812700 77.202047 82.819062
234 R13 12.549020 100.000000 100.000000 54.408438 79.040058 107.024999
235 A14 25.098039 100.000000 0.000000 37.875933 72.603739 12.019773
236 B14 25.098039 100.000000 12.549020 38.136645 72.708008 13.392955
237 C14 25.098039 100.000000 25.098039 38.801375 72.973859 16.894113
238 D14 25.098039 100.000000 37.647059 39.987328 73.448167 23.140577
239 E14 25.098039 100.000000 50.196078 41.772456 74.162108 32.542916
240 F14 25.098039 100.000000 62.745098 44.221523 75.141583 45.442248
241 G14 25.098039 100.000000 75.294118 47.391101 76.409219 62.136545
242 H14 25.098039 100.000000 87.843137 51.331394 77.985092 82.890224
243 I14 25.098039 100.000000 100.000000 55.927132 79.823104 107.096162
244 J14 100.000000 100.000000 100.000000 95.053991 99.997087 108.929552
245 K14 100.000000 100.000000 100.000000 95.053991 99.997087 108.929552
246 L14 100.000000 100.000000 100.000000 95.053991 99.997087 108.929552
247 M14 100.000000 100.000000 100.000000 95.053991 99.997087 108.929552
248 N14 100.000000 100.000000 100.000000 95.053991 99.997087 108.929552
249 O14 100.000000 100.000000 100.000000 95.053991 99.997087 108.929552
250 P14 100.000000 100.000000 100.000000 95.053991 99.997087 108.929552
251 Q14 100.000000 100.000000 100.000000 95.053991 99.997087 108.929552
252 R14 100.000000 100.000000 100.000000 95.053991 99.997087 108.929552
